title,loc,desc
Arthur Cunningham Flagstaff,"Cunningham Park

Queens",Flagstaff base
Astoria Park War Memorial,"Astoria Park

Queens",Stele with bas-relief on pedestal on stepped base
Athena,"Athens Square

Queens",Standing figure (heroic scale) on pedestal
Augustus Heckscher Gate Posts,"Central Park

Manhattan","2 gateposts, incised letters"
Australian Tree Marker,"Madison Square Park

Manhattan",Plaque on plinth
Baboon and Mandrill,"Central Park

Manhattan",Bas-relief
Bailey Fountain,"Grand Army Plaza

Brooklyn","Group of three standing figures (heroic scale) on pedestal adorned with three reclining figures (heroic scale), in basin with rockwork coping"
Baisley Pond Park Memorial,"Baisley Pond Park

Queens",Stele on plinth
Baker Monument,No location,Plinth and tablet
Balto,"Central Park

Manhattan",Canine figure on integral plinth on boulder with relief tablet mounted on front
Bartel-Pritchard Circle Columns,"Prospect Park

Brooklyn","Two columns on high square plinths, each topped by a tripod and bowl"
Bartel-Pritchard Circle War Memorial,"Bartel-Pritchard Square

Brooklyn",Stele
Battery Park Cannon,"The Battery

Manhattan","Cannon on base, plaque"
Battle of Harlem Heights Marker,No location,Plaque on plinth
Battle of the Bulge,"Wolfe's Pond Park

Staten Island",2-part granite column with star in the middle; paved plaza has semi-circular granite wall and inset mosaic design
Battle Pass Historic Marker,"Prospect Park

Brooklyn",Plaque mounted on boulder
Bayard Rustin Plaque,"Ralph Bunche Park

Manhattan",Tablet on base
Bayside Civil War Boulder,"Captain Dermody Triangle

Queens",Boulder and plaque (missing)
Bayside Hills Memorial Flagstaff,No location,3 plaques on concrete flagstaff
Beach and Sea Lion,"Crotona Park

Bronx",Bas-relief roundel
Beacon,"American Veterans Memorial Pier

Brooklyn","Over-life size sculpture, symbolic speaking-trumpet, with interior lamp; on concrete plinth"
Belle Harbor Memorial Circle,"Memorial Circle

Queens","33 plaques on limestone plinths, trees"
Belvedere Tower,"Central Park

Manhattan",
Benito Juarez,"Bryant Park

Manhattan",Full-size portrait sculpture on bronze base
Benjamin Franklin,No location,Standing figure (over life size) on integral plinth on pedestal
Bernard McCarthy WW II Memorial,"McCarthy Square

Manhattan",Square flagstaff base
Bethesda Fountain,"Central Park

Manhattan","Fountain with two basins, upper basin surmounted by angel figure (heroic scale), four putti (life size) between upper and lower basins, in a circular pool"
Bethesda Fountain and Terrace,"Central Park

Manhattan",Plaque
Bethesda Terrace,"Central Park

Manhattan",Arcaded structure with decorative ceiling panels of Minton tiles; exterior has carved limestone decorations
"Bill ""Bojangles"" Robinson Mural","Bill Bojangles Robinson Playground

Manhattan","Mural, period street lamp, plaque"
Bill Brown Post Memorial,No location,Large boulder with rough-hewn finish; incised inscription with bronze rosettes
Bird Bath,"City Hall Park

Manhattan",Cast stone bird bath
Bird Flying Machine,"Central Park

Manhattan",Figure on integral plinth
Boar,"Sutton Parks

Manhattan",Boar (life size) on pedestal with a basin
Bolivar Plaza Plaque,"Central Park

Manhattan",Plaque
Borough Hall World War I Tablets,"Columbus Park

Brooklyn",4 tree markers on recessed plinths
Bound Hands Rising Free,"McCarren Park

Brooklyn","A hand pointing down supports a group of three hands pointing upward with the higher, middle hand supporting a dove with wings spread and starting to fly, on a pedestal"
Bowdoin Horse Trough I,"Daniel Carter Beard Mall

Queens",Rectangular horse trough with filling at either end and feed pipe at center
Bowling Green Fence Plaque,No location,Plaque
Bowling Green Fountain,"Bowling Green

Manhattan",Oval fountain
Bowling Green Marker,"Bowling Green

Manhattan",Plaque on plinth
Bowne House Landmarks Tablet,"Margaret I. Carman Green - Weeping Beech

Queens",Plaque
Boy and Dog,"Prospect Park

Brooklyn",Group of two figures (life size)
Boy Scout's Tablet,"Prospect Park

Brooklyn",Tablet
Brigadier General Winfield Scott Hancock,"Hancock Park

Manhattan",Bust on pedestal
Broad Channel Memorial Park Plaque,"Broad Channel Veteran's Park

Queens",Boulder with tablet
Bronx Local Board #2 World War Memorial,No location,"Fluted rostral column topped with an eagle and inscribed with honor roll, on pedestal with bronze plaque"
Bronx River Parkway Drive,"Bronx River Parkway

Bronx",Stele with tablets
Bronx River Soldier,"Valentine Varian House

Bronx",Standing figure (life size) on plinth on pedestal
Bronx Victory Memorial,"Pelham Bay Park

Bronx","Corinthian column surmounted by standing figure (heroic scale), on pedestal with four-corner extensions bearing urns; fronted by right and left base elements each with a bas-relief; terrace with steps at front has six urns"
Bronx Victory Memorial,"Mosholu Parkway

Bronx","Group of two figures (life size) with eagle with integral plinth, on pedestal"
Brookland Ferry Landing,"Hillside Dog Park

Brooklyn",Tablet on boulder
Brooklyn Korean War Veterans Plaza,"Korean War Veterans Plaza

Brooklyn","Plaza, gate with three steps and wheelchair ramp, flagstaff on base, benches"
Brooklyn War Memorial,"Cadman Plaza Park

Brooklyn","Building adorned by two large figures (heroic scale), one at either end of front façade"
Burnett Memorial Fountain,"Central Park

Manhattan",Standing girl figure and reclining boy figure on pedestal; tablet in pavement
Bushwick War Memorial,"Memorial Gore

Brooklyn",Eagle on ball on triangular shaft on plinth; small tablet on ground with dedication date
Bushwick-Ridgewood Memorial,"Heisser Triangle

Brooklyn","Doughboy figure with integral plinth, on pedestal, tablet set in ground at proper right"
Cactus Couple,"Central Park

Manhattan","Two forms, one tall and one ball-shaped, on base supported by low box"
Canadian Burr Oak,No location,Tree marker
Capt. Malcolm A. Rafferty,"Rafferty Triangle

Queens",Inscribed natural boulder
Captain George H. Tilly,"Captain Tilly Park

Queens",Stele
Captain George H. Tilly,"Captain Tilly Park

Queens","Tablet, pedestal"
Captain Roald Amundsen Plaque,"Amundsen Circle

Staten Island",Plaque on boulder
Caribou,"Central Park

Manhattan",Bas-relief
Carl Schurz Memorial,"Morningside Park

Manhattan",Portrait statue and exedra
Carmine Street Pool Mural,"James J Walker Park

Manhattan","Mural on rear of concrete handball wall, facing outdoor pool"
Carroll Park Memorial,"Carroll Park

Brooklyn","Stele on plinth on step; stele with bas-reliefs on north and south sides, and plaques on east and west sides"
Castello Plan,"The Battery

Manhattan",Three-dimensional plaque on natural boulder; nine narrative stones in pavement
Catholic War Veterans Square,"Catholic War Veterans Square

Queens",Carved cross on base
Central Park Tablet,"Central Park

Manhattan",Tablet
Cespino-Russo Post Plaque,"Franklin D. Roosevelt Boardwalk and Beach

Staten Island",Tablet on plinth and flagstaff
Chaplains Memorial,No location,Tablet on plinth
Charging Bull,No location,Volumetric figure
Charles and Murray Gordon,No location,Tablets on markers (2)
Charles B. Stover,"Central Park

Manhattan",Exedra
"Cheetah, Leopard and Puma","Central Park

Manhattan",Bas-relief in four continuous sections
Chelsea Park Memorial (Doughboy),"Chelsea Park

Manhattan","Standing figure with integral plinth, on pedestal against integral backing wall"
Chelsea Recreation Center Mosaics,"Chelsea Recreation Center

Manhattan",Series of 5 glass mosaics at pool interior
Cherry Hill Fountain,"Central Park

Manhattan",fountain with bronze and wrought iron finial on top a polychrome masonry base
Chester Alan Arthur,"Madison Square Park

Manhattan",Standing figure (heroic scale) on integral plinth on pedestal
"Chidwick, Rt. Rev. Msgr. John P.","Central Park

Manhattan",Two tablets
Chief Nimham Memorial,"Van Cortlandt Park

Bronx","Boulder-like form (cairn) bearing a plaque, on a low base"
Chimpanzee,"Central Park

Manhattan",Bas-relief
Chinese Tablet,"Riverside Park

Manhattan",Tablet on plinth
Christopher Columbus,"Columbus Square

Queens","Standing figure (over life size) on pedestal, on plinth"
Christopher Columbus,"Central Park

Manhattan",Standing figure (over life size) on pedestal
Christopher Columbus,"Columbus Park

Brooklyn","Standing figure on base, on plinth"
Christopher Columbus,"D'Auria-Murphy Triangle

Bronx",Bust on plinth on pedestal supported by two-part base
Christopher Columbus Tablet,"Columbus Park

Brooklyn",Plaque on pedestal
City Employees War Memorial,"Central Park

Manhattan","Flagstaff supported by sleeve ornamented with leaves and ending in four medallions in relief and four standing eagles with outspread wings, on pedestal"
City Hall Park Fountain,"City Hall Park

Manhattan","Square pool with candelabrum at each corner; central column consisting of circular basin with umbrella above, surmounted by fixture"
City Island World War Memorial,No location,Plaque on stele
Civil Engineers Plaque,"City Hall Park

Manhattan",Plaque on plinth
Clara Coffey Tablet,"Sutton Parks

Manhattan",Tablet set in flower bed
Claremont Inn Tablet,"Riverside Park

Manhattan",Incised plaque set in pavement
Clason Point World War I Memorial,"Woodrow Wilson Triangle

Bronx","Bas-relief plaque with female figure (life size) surrounded by quotations; plaque is surmounted by an eagle with spread wings, on stele"
Clinton War Memorial (Doughboy),"De Witt Clinton Park

Manhattan","Standing figure (over life size) with integral plinth, on pedestal"
Coast Guard Memorial,"The Battery

Manhattan","Group of three figures (heroic scale), integral plinth, on pedestal"
Cobble Hill Historic District Plaque,"Cobble Hill Park

Brooklyn","Plaque with medallion at top, on plinth"
Cockatoos and Ara,"Central Park

Manhattan",Bas-relief
Coenties Ship,No location,Vertical structure on cut glass bell-shaped base; with glass pavers in radiating fashion
Coffey Square,No location,Two upright stones on elongated slab; one has bronze plaque and other has incised scene of Iwo Jima
College Point War Memorial,"Mall Eighteen

Queens",Stele with plaque
Colonel David Marcus Memorial Plaque,"Colonel David Marcus Playground

Brooklyn",Plaque
Colonel David Marcus Memorial Playground Plaque,"Colonel David Marcus Playground

Brooklyn",Plaque on plinth
Colonial Rose Garden Tablet,"Conference House Park

Staten Island",Tablet on boulder
Columbus Monument,No location,"Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base"
Columbus Square Tablet,"Columbus Square

Queens",Circular tablet set in pavement
Column of Jerash,"Flushing Meadows Corona Park

Queens","Column, plaque set in ground"
Columnade,"Fort Tryon Park

Manhattan","Two upright, continuous lengths of cast material in a U-attached- to- inverted-U pattern, aligned side by side"
Commissioner Newbold Morris,"Central Park

Manhattan",Tablet on plinth
Commodore John Barry,"Commodore Barry Park

Brooklyn",Inscribed stele with Celtic cross and US Navy seal at top and text below
Concord World War II Memorial,"Maple Woods

Staten Island",Stele with plaque
Conference House Landmarks Tablet,"Conference House Park

Staten Island",Plaque on exterior wall
Conference House National Landmarks Tablet,"Conference House Park

Staten Island",Plaque on exterior wall
Conference House Tablet,"Conference House Park

Staten Island",Tablet on wall
Confucius,"Kimlau Square

Manhattan",Standing figure (heroic scale) with integral plinth on pedestal; terrace surrounded by sixteen bollards connected by swag chains
Conrad Poppenhusen,"Poppenhusen Park

Queens",Bust on pedestal on stepped base
Conservatory Garden Fountain,"Central Park

Manhattan",Display fountain
Cormorants,"Central Park

Manhattan",Bas-relief
Cornelius Heeney Memorial,"Columbus Park

Brooklyn",Plaque with relief medallion on plinth
Corp. Walter J. Fufidio Flagstaff,No location,Flagpole on granite base
Corporal George J. Wellbrock Memorial,"Wellbrock Triangle

Queens",Obelisk with plaque and nameplates
Corporal John A. Seravalli Tablet,"Corporal John A. Seravalli Playground

Manhattan",Tablet
Corporal Robert Gray Tree Marker,"Forest Park

Queens",Tree marker
Cpl. Louis Zimmerman,"Zimmerman Playground

Bronx",Plaque recessed into wall
Cpl. William Leonard Square,"Leonard Square

Queens",Plaque on standard ocatagon flagstaff
Crack Is Wack,"Harlem River Park

Manhattan",Two murals on either side of concrete handball wall
Crime Victims Memorial,"City Hall Park

Manhattan",Marker
Cyrus Clark,"Riverside Park

Manhattan",Plaque on boulder
Damrosch Park,No location,Bronze Plaque affixed to a wall
Dancing Goat,"Central Park

Manhattan",Goat standing on hind legs on integral plinth on pedestal in center of fountain basin
Daniel & Flor Guggenheim Memorial Bandshell,"Damrosch Park

Manhattan",Plaque on exterior wall
Daniel D. Tompkins,"Tompkinsville Park

Staten Island",Tablet with text
Daniel Draper,"Central Park

Manhattan",Tablet on front wall of tower
Daniel Webster,"Central Park

Manhattan","Standing figure with intergral plinth, on pedestal"
Dante Alighieri,"Dante Park

Manhattan",Standing figure (over life-size) on pedestal
David Rockefeller Linden Terrace Plaque,"Fort Tryon Park

Manhattan",Dedication plaque inset into fieldstone wall
Dawn of Glory,"Highland Park

Queens","Standing male figure (heroic scale) with integral plinth on pedestal raised on three steps, tablet"
Deborah Moody Square,"Lady Moody Triangle

Brooklyn",Plaque embedded in plinth
Debs Myers,"City Hall Park

Manhattan",Dogwood tree and plaque on plinth
Declaration of Independence Plaque,"City Hall Park

Manhattan",Plaque on plinth
Deer,"Central Park

Manhattan",Bas-relief
Delacorte Clock,"Central Park

Manhattan",Three-tiered mechanical clock; bottom level  has six animal figures marching  around clock tower in igrillwork frame; clock faces above the animals; clock tower topped by  two monkeys and  bell; clock is on top  of arched gateway; two plaques
Denis P. Gorman,"Gorman Playground

Queens",Plaque on field house wall
Diatom Lace,No location,Embossed concrete pathways
Discus Thrower,"Randall's Island Park

Manhattan","Standing figure (heroic scale) with integral plinth, on pedestal, front decorated with applied wreath and urn, plaque at rear"
Dongan Oak Marker,"Prospect Park

Brooklyn","Eagle on integral plinth on stele on base, two plaques (one mounted on stele, one in ground before stele)"
Doris C. Freedman Plaza Plaque,"Central Park

Manhattan",Plaque
Double Sun,"McCarren Park

Brooklyn",white and grey trompe l'oeil mural on archway entry of McCarren Park Pool Play Center
Dover Patrol,"John Paul Jones Park

Brooklyn",Obelisk
Dr. Alexander J.C. Skene,"Grand Army Plaza

Brooklyn",Bust with integral standard on pedestal backed by a stele
Dr. Sun Yat-sen Monument,No location,". Bronze figure (heroic size) of Dr. Sun Yat-sen;  proper left hand holding a hat. Granite pedestal, with inscription at middle of east and west  side."
Dragon Fountain,"Prospect Park

Brooklyn",Fountain
Dreyfus Plaque,"Hero Park

Staten Island",Plaque mounted on south side of Sugar Loaf Rock
Drinking Fountain,"Central Park

Manhattan",Drinking fountain
Duane Park Plaques,No location,Two plaques
Duke Ellington Memorial,No location,"Standing figure (heroic scale) before a grand piano on a circular platform supported by three groups of three caryatids on three triform columns, integral plinth, two plaques on pedestal"
Dyckman House Tablet,"Dyckman House Museum

Manhattan",Tablet
Eagles,"Central Park

Manhattan",8 sculptured eagles
Eagles and Prey,"Central Park

Manhattan","Group of two birds attacking a goat, on a pedestal"
Eagles and Vultures,"Central Park

Manhattan",Bas-relief
Eaphae-Aekyad #2,"John Jay Park

Manhattan",Precariously balanced pieces of steel
East 23rd Street Bath House Dolphin Fountain,"Asser Levy Playground

Manhattan","Dolphin head spout and stele, inside on pool deck"
East 23rd Street Bath House Fountain,"Asser Levy Playground

Manhattan","Display fountain, lion head fill spout"
East 23rd Street Bath House Landmarks Plaque,"Asser Levy Playground

Manhattan",Plaque on exterior wall
East 54th Street Recreation Center Plaque,No location,Rectangular plaque
East Coast Memorial,"The Battery

Manhattan",Eagle on pedestal between two ranks of four inscribed pylons (eight pylons in all; axis aligned with Statue of Liberty)
East River Roundabout,No location,Spiral form fastened along and around a preexisting building frame
East Side Post 868 American Legion Flagstaff,"Tompkins Square Park

Manhattan",Flagstaff and base
Edgar Allan Poe,"Poe Park

Bronx","Portrait bust, pedestal"
Edgewater Village Hall Plaque,"Tappen Park

Staten Island",Bronze plaque on Edgewater Village Hall building
Edith Bowdoin ASPCA Horse Trough,No location,"Rectangular basin ""Type G"" trough"
Edvard Grieg Memorial,"Prospect Park

Brooklyn",Bust on pedestal with plaque
Edward Robinson Squibb Plaque,"Squibb Park

Brooklyn",Plaque with relief bust
Edwin Franko Goldman,"Central Park

Manhattan",Plaque on exterior wall
Egbert Memorial,"Egbert Triangle

Staten Island",Monument with tablet
Egbertville World War Memorial,"War Memorial

Staten Island","Stele with eagle in front, plaque attached at back, two smaller incised steles at side with plaques at back"
Egyptian Obelisk,"Central Park

Manhattan","Obelisk supported by bronze crabs at four corners of base, on a block on a square terrace, plaques"
El Arbol de Esperanza,"Thomas Jefferson Park

Manhattan","Tree trunk figure, globe constructed of a transparent matrix of coated rods with fittings at connecting points"
Eleanor Roosevelt Memorial,"Riverside Park

Manhattan","Figure (heroic scale) half-seated against a boulder, circular foot stone, earth pedestal encircled by a low wall, concentric pavement, two inscribed pavers, two plaques"
Eleventh Milestone Marker,"Roger Morris Park

Manhattan","Marker on base, plaque"
Emilio Barbosa Memorial,"Bennett Park

Manhattan",Plaque
Emma Lazarus Memorial Plaque,"The Battery

Manhattan",Plaque on plinth
Ephraim Elmer Ellsworth,"Christopher Park

Manhattan","Flagstaff, pedestal with tablet"
Etched Granite Pavement,"Flushing Meadows Corona Park

Queens","Four hundred sixty-four square, smooth, inset blocks arranged in four groups"
Eternal Light Flagstaff,"Madison Square Park

Manhattan",Flagstaff with ornamented base
Father Capodanno Memorial,"Franklin D. Roosevelt Boardwalk and Beach

Staten Island",Tablet recessed in granite stele
Father Demo Square,"Father Demo Square

Manhattan",Incised letter on light pole base
Father Duffy D.S.C. Post 54 Flagstaffs,"Father Duffy Square

Manhattan",Two square flagstaff bases with hexagon caps and collars
Father Francis P. Duffy,"Father Duffy Square

Manhattan","Standing figure (over life size) before a Celtic cross, on a pedestal, on a base, on a platform with seat at  rear, approached by three steps"
Father Giorgio Memorial,"Father Giorgio Triangle

Brooklyn",Stele with portrait plaque
Father Jerzy Popieluszko Monument,"McCarren Park

Brooklyn","Bust emerging from a rough-hewn block, so it appears to be enshrouded up to the shoulders in a map of Poland, two plaques in pavement at front"
Father Kehoe Square,No location,Shaft with incised letters
Filter House Ornaments,"Hamilton Fish Park

Manhattan",8 sculptured ornaments
Fiorello H. La Guardia,"Little Flower Playground

Manhattan",Bust (life-size) on pedestal
Fiorello H. La Guardia,No location,Standing figure (heroic scale) on pedestal
Firemen's Memorial,"Riverside Park

Manhattan","Monumental sarcophagus-like structure with a bas-relief, groups of figures (over life size) at either end, on terrace with fountain, and balustrades approached by a flight of steps"
Firemen's Memorial,"James J Walker Park

Manhattan",Sarcophagus
Firemen's Memorial Luminaire,"Broadway Malls

Manhattan","Decorative lamppost, with some original parts taken from a lamppost that was originally located at the Firemen's Memorial at Riverside Park"
Firemen's Memorial Tablet Horses,"Riverside Park

Manhattan",Tablet embedded in terrace
First Avenue Underpass,No location,Tablet affixed to granite wall
First Symphony of the Sea,"Coney Island Beach & Boardwalk

Brooklyn",Mural on free-standing wall
Fitz Greene Halleck,"Central Park

Manhattan","Seated figure (over life-size) on integral plinth, on pedestal"
Flanders Field Flagstaff,"Park Of The Americas

Queens",Flagstaff and tablet on base
Flight 587 Memorial,"Flight 587 Memorial Park

Queens",Commemorative wall with inscribed names; plaza
Florence Gallagher,"Van Cortlandt Park

Bronx",Plaque on plinth
Flushing Bay Promenade Pavement,"Flushing Meadows Corona Park

Queens","Abstract paving pattern installed on the promenade; pattern connects the two remaining ""Candela structures,"" and includes their floors; structures serve as shade houses."
Flushing Memorial,"Daniel Carter Beard Mall

Queens","Standing, winged female figure (heroic scale) on pedestal, in front of stele, benches at sides"
Flushing Park Memorial,No location,Obelisk with incised letters
Flushing Remonstrance Plaque,No location,Plaque on plinth
Flushing World War Memorial,"Flushing Fields

Queens",Stele and exedra with plaque
Flying Fish,"Crotona Park

Bronx",Bas-relief roundel
Foley Square Medallions,"Thomas Paine Park

Manhattan",Five medallions embedded at different locations in the walkways
Forms in Transit,"Flushing Meadows Corona Park

Queens",Large composition on pedestal
Fort  Greene Park Cannons,No location,Two cannons
Fort George Memorial Tablet,"The Battery

Manhattan",Tablet
Fort Greene Eagles,"Fort Greene Park

Manhattan",2 bronze eagles originally from Prison Ship Martyrs Monument
Fort Greene Park Landmarks Tablet,No location,plaque on stone wall
Fort Hamilton Cannon,"John Paul Jones Park

Brooklyn",Rodman gun
Fort Hamilton D.A.R. Tablet,"John Paul Jones Park

Brooklyn",Tablet on natural boulder
Fort Hamilton War Memorial,"Fort Hamilton Triangle

Brooklyn","Obelisk topped by eagle, four plaques"
Fort Independence Park,"Fort Independence Playground

Bronx",Tablets on gateposts
Fort Number Four,"Washington's Walk

Bronx",Tablet recessed in stone wall
Fort Stirling Marker,"Fort Stirling Park

Brooklyn",Tablet on plinth
Fort Tryon Memorial,"Fort Tryon Park

Manhattan",Stele with sculptured decorations
Fort Tryon Park Flagstaff,"Fort Tryon Park

Manhattan",Flagstaff pedestal
Fort Tryon Park Playground,"Fort Tryon Park

Manhattan",Tablet
Fort Tryon Park Tablet,"Fort Tryon Park

Manhattan",Tablet
Fort Washington Memorial,No location,Stele and marble structure
Fountain of Life,"Bronx Park

Bronx","Group (life size) of three figures, two of which are riding horse-like sea creatures and one that rides a porpoise, on a pedestal"
Fountain of the Dolphins,No location,"Fountain consisting of six dolphin figures (life size) fastened to footings by posts and wave-shaped rails containing illuminable fiber-optic cables, water jets"
Four Chimneys,No location,Tablet recessed in boulder
Four Eagles,"Grand Army Plaza

Brooklyn","Four columns, each with four small eagles surmounting globes at middle sections and one large eagle surmounting globe at top"
Francis Lewis Plaque,"Francis Lewis Park

Queens",Plaque on base of flagstaff
Francis Makemie,"Bowling Green

Manhattan",Plaque on plinth
Frank and Constantine Busso,"Joseph Manna Park

Staten Island",Two inscribed markers in ground in front of two cement plinths with blue anchors in relief
Frank Frontera Park Tablet,"Frontera Park

Queens",Marker
Frank J. Goodwin,"Chelsea Park

Manhattan",Memorial gate posts
Frank J. McManus Memorial,"Grand Central Parkway

Queens",Tablet on stele
Frank Kelly,"Van Cortlandt Park

Bronx","Plaque on plinth, tree marker"
Frank L. Dowling,"Chelsea Park

Manhattan",Memorial gate posts
Frank S. Hackett,"Hackett Park

Bronx",Plaque on boulder
Frederick Douglass Memorial,"Central Park

Manhattan","Heroic scale bronze figure, bronze fountain wall, and decorative paving and seating blocks"
Frederick E. Samuel Memorial,"Frederick Johnson Playground

Manhattan","Bronze plaque on pillar with incised, green-painted leaf at bottom in pavement"
Frederick Johnson Memorial,"Frederick Johnson Playground

Manhattan",Stele with incised letters
Free Form,"Flushing Meadows Corona Park

Queens",Form on base
Freedom of the Human Spirit,"Flushing Meadows Corona Park

Queens","Group of two upright figures (heroic scale), one male,one female, supported by three swans in flight, attached to upright spikes, on a circular pedestal"
Freedom Square Memorial,"Freedom Triangle

Brooklyn",Winged female figure (over life size) on integral plinth on pedestal
Freedom Tree Marker,"Madison Square Park

Manhattan",Plaque recessed in plinth
Freedom Tree Marker,No location,"Plaque on plinth, set into ground"
Friedel Memorial Drinking Fountain,"Central Park

Manhattan",Drinking fountain with basin in form of dog
Garden of Meditation,"Flushing Meadows Corona Park

Queens",Seven inscribed plinths
Garibaldi Marker,"Garibaldi Playground

Brooklyn","Honed granite plinth, incised inscription"
Gates of Life,"Flushing Meadows Corona Park

Queens",Ornamental gates
Gay Liberation,"Christopher Park

Manhattan","Group of four figures (two seated, two standing), two World's Fair-style benches, plaque"
General Daniel Butterfield,"Sakura Park

Manhattan",Standing figure (over life size) on rock on pedestal
General Edward Fowler,No location,"Standing figure (over life size) on integral plinth on pedestal  with wreath containing letters  of name, and plaque"
General Franz Sigel,"Riverside Park

Manhattan",Equestrian figure (over life-size) with integral plinth on a pedestal that rests on a base that allows the monument to sit at the top of a staircase
General George Washington Tablet,"Alley Pond Park

Queens",Tablet on boulder
General Gouverneur Kemble Warren,"Grand Army Plaza

Brooklyn","Standing figure (over life-size) on pedestal, two plaques"
General Henry Warner Slocum,"Grand Army Plaza

Brooklyn","Equestrian figure on pedestal embellished with relief eagle on front, four medallions (two on each side)"
General Horace Porter Memorial,"Riverside Park

Manhattan",Flagstaff base with plaque
